state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
mt,2011,upper,SB 1,MTV00000001,upper,Do Pass,2011-04-07 00:00:00,other,47,2,1
mt,2011,upper,SB 1,MTV00000002,upper,Do Concur,2011-04-06 00:00:00,other,49,0,1
mt,2011,upper,SB 1,MTV00000003,lower,Do Concur,2011-04-04 00:00:00,other,85,14,1
mt,2011,upper,SB 1,MTV00000004,lower,Do Concur,2011-04-02 00:00:00,other,80,19,1
mt,2011,upper,SB 1,MTV00000005,lower,BE CONCURRED IN AS AMENDED,2011-03-18 00:00:00,other,18,0,0
mt,2011,upper,SB 1,MTV00000006,upper,Do Pass,2011-03-03 00:00:00,other,41,8,1
mt,2011,upper,SB 1,MTV00000007,upper,Do Pass,2011-03-02 00:00:00,other,44,6,0
mt,2011,upper,SB 1,MTV00000008,upper,DO PASS AS AMENDED,2011-02-15 00:00:00,other,11,1,0
mt,2011,upper,SB 2,MTV00000009,upper,Indefinitely Postpone -Essmann,2011-02-23 00:00:00,other,28,22,0
mt,2011,upper,SB 2,MTV00000010,upper,Do Pass,2011-02-23 00:00:00,other,25,25,0
mt,2011,upper,SB 2,MTV00000011,upper,DO PASS,2011-02-16 00:00:00,other,5,3,0
mt,2011,upper,SB 3,MTV00000012,lower,Do Concur,2011-04-01 00:00:00,other,73,24,3
mt,2011,upper,SB 3,MTV00000013,lower,Do Concur,2011-03-31 00:00:00,other,76,23,1
mt,2011,upper,SB 3,MTV00000014,lower,BE CONCURRED IN,2011-03-17 00:00:00,other,17,1,0
mt,2011,upper,SB 3,MTV00000015,upper,Do Pass,2011-02-07 00:00:00,other,36,13,1
mt,2011,upper,SB 3,MTV00000016,upper,Do Pass As Amended,2011-02-04 00:00:00,other,39,11,0
mt,2011,upper,SB 3,MTV00000017,upper,AMD-1 Lake D/PASS,2011-02-04 00:00:00,other,43,7,0
mt,2011,upper,SB 3,MTV00000018,upper,DO PASS AS AMENDED,2011-01-26 00:00:00,other,10,0,0
mt,2011,upper,SB 4,MTV00000019,upper,Do Pass,2011-01-19 00:00:00,other,30,18,2
mt,2011,upper,SB 4,MTV00000020,upper,Do Pass,2011-01-18 00:00:00,other,28,21,1
mt,2011,upper,SB 4,MTV00000021,upper,DO PASS,2011-01-14 00:00:00,other,6,5,0
mt,2011,upper,SB 5,MTV00000022,lower,Do Concur,2011-04-01 00:00:00,other,72,26,2
mt,2011,upper,SB 5,MTV00000023,lower,Do Concur,2011-03-31 00:00:00,other,76,24,0
mt,2011,upper,SB 5,MTV00000024,lower,BE CONCURRED IN,2011-03-22 00:00:00,other,19,2,0
mt,2011,upper,SB 5,MTV00000025,upper,Do Pass,2011-01-22 00:00:00,other,46,3,1
mt,2011,upper,SB 5,MTV00000026,upper,Do Pass,2011-01-21 00:00:00,other,44,5,1
mt,2011,upper,SB 5,MTV00000027,upper,DO PASS,2011-01-18 00:00:00,other,10,0,0
mt,2011,upper,SB 7,MTV00000028,lower,Do Concur,2011-03-21 00:00:00,other,94,2,4
mt,2011,upper,SB 7,MTV00000029,lower,Do Concur,2011-03-18 00:00:00,other,96,4,0
mt,2011,upper,SB 7,MTV00000030,lower,BE CONCURRED IN,2011-03-09 00:00:00,other,16,0,0
mt,2011,upper,SB 7,MTV00000031,upper,Do Pass,2011-01-24 00:00:00,other,49,0,1
mt,2011,upper,SB 7,MTV00000032,upper,Do Pass,2011-01-22 00:00:00,other,49,0,1
mt,2011,upper,SB 7,MTV00000033,upper,DO PASS AS AMENDED,2011-01-18 00:00:00,other,12,0,0
mt,2011,upper,SB 9,MTV00000034,lower,Do Concur,2011-04-01 00:00:00,other,98,0,2
