id,state,chamber,committee,subcommittee,parent_id
MTC000084,mt,joint,Joint Appropriations/Finance & Claims,Education,
MTC000086,mt,joint,Joint Appropriations/Finance & Claims,General Government,
MTC000087,mt,joint,Joint Appropriations/Finance & Claims,Natural Resources and Transportation,
MTC000089,mt,joint,Joint Appropriations/Finance & Claims,Long-Range Planning,
MTC000090,mt,joint,Joint Appropriations/Finance & Claims,Health & Human Services,
MTC000091,mt,joint,Joint Appropriations/Finance & Claims,"Judicial Branch, Law Enforcement and Justice",
MTC000018,mt,lower,Agriculture,,
MTC000020,mt,lower,Ethics,,
MTC000022,mt,lower,Judiciary,,
MTC000024,mt,lower,State Administration,,
MTC000025,mt,lower,Transportation,,
MTC000026,mt,lower,Appropriations,,
MTC000027,mt,lower,Education,,
MTC000029,mt,lower,Human Services,,
MTC000030,mt,lower,Legislative Administration,,
MTC000031,mt,lower,Local Government,,
MTC000032,mt,lower,Rules,,
MTC000066,mt,lower,Business and Labor,,
MTC000069,mt,lower,Natural Resources,,
MTC000076,mt,lower,"Fish, Wildlife and Parks",,
MTC000085,mt,lower,"Federal Relations, Energy, and Telecommunications",,
MTC000092,mt,lower,Taxation,,
MTC000002,mt,upper,Committee on Committees,,
MTC000003,mt,upper,Energy and Telecommunications,,
MTC000005,mt,upper,Highways and Transportation,,
MTC000008,mt,upper,State Administration,,
MTC000010,mt,upper,Education and Cultural Resources,,
MTC000011,mt,upper,Ethics,,
MTC000012,mt,upper,Fish and Game,,
MTC000013,mt,upper,Judiciary,,
MTC000015,mt,upper,Legislative Administration,,
MTC000016,mt,upper,Rules,,
MTC000017,mt,upper,Taxation,,
MTC000071,mt,upper,Natural Resources,,
MTC000079,mt,upper,"Agriculture, Livestock and Irrigation",,
MTC000082,mt,upper,"Public Health, Welfare and Safety",,
MTC000083,mt,upper,"Business, Labor and Economic Affairs",,
MTC000088,mt,upper,Local Government,,
MTC000093,mt,upper,"Business, Labor, and Economic Affairs",,
