leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
MTL000001,member,2013-2014,31,upper,mt,Republican,,,,,
MTL000001,committee member,2013-2014,,upper,mt,,MTC000003,Energy and Telecommunications,,,
MTL000001,committee member,2013-2014,,upper,mt,,MTC000008,State Administration,,,
MTL000001,committee member,2013-2014,,upper,mt,,MTC000017,Taxation,,,
MTL000001,committee member,2013-2014,,joint,mt,,MTC000059,Joint Appropriations/Finance & Claims,Joint Select Committee on Pensions,,
MTL000001,committee member,2013-2014,,joint,mt,,MTC000062,Joint Appropriations/Finance & Claims,Pensions,,
MTL000001,member,2011-2012,31,upper,mt,Republican,,,,,
MTL000001,committee member,2011-2012,,upper,mt,,MTC000005,Highways and Transportation,,,
MTL000001,committee member,2011-2012,,upper,mt,,MTC000008,State Administration,,,
MTL000001,committee member,2011-2012,,upper,mt,,MTC000017,Taxation,,,
MTL000002,member,2013-2014,8,upper,mt,Democratic,,,,,
MTL000002,committee member,2013-2014,,upper,mt,,MTC000001,"Agriculture, Livestock, and Irrigation",,,
MTL000002,committee member,2013-2014,,upper,mt,,MTC000013,Judiciary,,,
MTL000002,committee member,2013-2014,,upper,mt,,MTC000015,Legislative Administration,,,
MTL000002,committee member,2013-2014,,upper,mt,,MTC000006,Local Government,,,
MTL000002,member,2011-2012,8,upper,mt,Democratic,,,,,
MTL000002,committee member,2011-2012,,upper,mt,,MTC000003,Energy and Telecommunications,,,
MTL000002,committee member,2011-2012,,upper,mt,,MTC000006,Local Government,,,
MTL000002,committee member,2011-2012,,upper,mt,,MTC000013,Judiciary,,,
MTL000003,committee member,2011-2012,,upper,mt,,MTC000002,Committee on Committees,,,
MTL000003,committee member,2011-2012,,upper,mt,,MTC000008,State Administration,,,
MTL000003,committee member,2011-2012,,upper,mt,,MTC000009,"Business, Labor, and Economic Affairs",,,
MTL000003,committee member,2011-2012,,upper,mt,,MTC000012,Fish and Game,,,
MTL000003,committee member,2011-2012,,upper,mt,,MTC000016,Rules,,,
MTL000003,member,2011-2012,34,upper,mt,Republican,,,,,2012-06-06 00:00:00
MTL000003,committee member,2011-2012,,upper,mt,,MTC000002,Committee on Committees,,,
MTL000003,committee member,2011-2012,,upper,mt,,MTC000008,State Administration,,,
MTL000003,committee member,2011-2012,,upper,mt,,MTC000009,"Business, Labor, and Economic Affairs",,,
MTL000003,committee member,2011-2012,,upper,mt,,MTC000012,Fish and Game,,,
MTL000003,committee member,2011-2012,,upper,mt,,MTC000016,Rules,,,
MTL000004,member,2013-2014,36,upper,mt,Republican,,,,,
MTL000004,committee member,2013-2014,,upper,mt,,MTC000009,"Business, Labor, and Economic Affairs",,,
MTL000004,committee member,2013-2014,,upper,mt,,MTC000012,Fish and Game,,,
MTL000004,committee member,2013-2014,,upper,mt,,MTC000058,Natural Resources,,,
MTL000004,committee member,2013-2014,,upper,mt,,MTC000016,Rules,,,
MTL000004,member,2011-2012,36,upper,mt,Republican,,,,,
MTL000004,committee member,2011-2012,,upper,mt,,MTC000004,Finance and Claims,,,
MTL000004,committee member,2011-2012,,upper,mt,,MTC000011,Ethics,,,
MTL000004,committee member,2011-2012,,upper,mt,,MTC000012,Fish and Game,,,
MTL000004,committee member,2011-2012,,upper,mt,,MTC000014,Natural Resources,,,
MTL000004,committee member,2011-2012,,joint,mt,,MTC000034,Appropriations,Education,,
MTL000004,member,2015-2016,36,upper,mt,Republican,,,,,
MTL000004,committee member,2015-2016,,upper,mt,,MTC000016,Rules,,,
MTL000005,member,2013-2014,11,upper,mt,Democratic,,,,,
MTL000005,committee member,2013-2014,,upper,mt,,MTC000005,Highways and Transportation,,,
MTL000005,committee member,2013-2014,,upper,mt,,MTC000013,Judiciary,,,
MTL000005,committee member,2013-2014,,upper,mt,,MTC000008,State Administration,,,
MTL000005,member,2011-2012,11,upper,mt,Democratic,,,,,
MTL000005,committee member,2011-2012,,upper,mt,,MTC000005,Highways and Transportation,,,
MTL000005,committee member,2011-2012,,upper,mt,,MTC000008,State Administration,,,
MTL000005,committee member,2011-2012,,upper,mt,,MTC000013,Judiciary,,,
MTL000005,committee member,2011-2012,,upper,mt,,MTC000016,Rules,,,
MTL000006,member,2011-2012,27,upper,mt,Democratic,,,,,
MTL000006,committee member,2011-2012,,upper,mt,,MTC000001,"Agriculture, Livestock, and Irrigation",,,
MTL000006,committee member,2011-2012,,upper,mt,,MTC000010,Education and Cultural Resources,,,
MTL000006,committee member,2011-2012,,upper,mt,,MTC000017,Taxation,,,
MTL000007,member,2013-2014,18,upper,mt,Republican,,,,,
MTL000007,committee member,2013-2014,,upper,mt,,MTC000002,Committee on Committees,,,
MTL000007,committee member,2013-2014,,upper,mt,,MTC000004,Finance and Claims,,,
MTL000007,committee member,2013-2014,,upper,mt,,MTC000012,Fish and Game,,,
MTL000007,committee member,2013-2014,,upper,mt,,MTC000013,Judiciary,,,
MTL000007,committee member,2013-2014,,upper,mt,,MTC000058,Natural Resources,,,
MTL000007,committee member,2013-2014,,joint,mt,,MTC000057,Joint Appropriations/Finance & Claims,Natural Resources and Transportation,,
MTL000007,member,2011-2012,18,upper,mt,Republican,,,,,
MTL000007,committee member,2011-2012,,upper,mt,,MTC000002,Committee on Committees,,,
MTL000007,committee member,2011-2012,,upper,mt,,MTC000004,Finance and Claims,,,
MTL000007,committee member,2011-2012,,upper,mt,,MTC000012,Fish and Game,,,
MTL000007,committee member,2011-2012,,upper,mt,,MTC000014,Natural Resources,,,
MTL000007,committee member,2011-2012,,upper,mt,,MTC000016,Rules,,,
MTL000007,committee member,2011-2012,,joint,mt,,MTC000039,Appropriations,Natural Resources and Transportation,,
MTL000007,member,2015-2016,17,upper,mt,Republican,,,,,
MTL000007,committee member,2015-2016,,joint,mt,,MTC000087,Joint Appropriations/Finance & Claims,Natural Resources and Transportation,,
MTL000007,committee member,2015-2016,,upper,mt,,MTC000011,Ethics,,,
MTL000007,committee member,2015-2016,,upper,mt,,MTC000002,Committee on Committees,,,
MTL000007,committee member,2015-2016,,upper,mt,,MTC000071,Natural Resources,,,
MTL000007,committee member,2015-2016,,upper,mt,,MTC000012,Fish and Game,,,
MTL000008,member,2013-2014,22,upper,mt,Republican,,,,,
MTL000008,committee member,2013-2014,,upper,mt,,MTC000001,"Agriculture, Livestock, and Irrigation",,,
MTL000008,committee member,2013-2014,,upper,mt,,MTC000010,Education and Cultural Resources,,,
MTL000008,committee member,2013-2014,,upper,mt,,MTC000004,Finance and Claims,,,
MTL000008,committee member,2013-2014,,upper,mt,,MTC000015,Legislative Administration,,,
MTL000008,committee member,2013-2014,,joint,mt,,MTC000052,Joint Appropriations/Finance & Claims,Education,,
MTL000008,member,2011-2012,22,upper,mt,Republican,,,,,
MTL000008,committee member,2011-2012,,upper,mt,,MTC000001,"Agriculture, Livestock, and Irrigation",,,
MTL000008,committee member,2011-2012,,upper,mt,,MTC000004,Finance and Claims,,,
MTL000008,committee member,2011-2012,,upper,mt,,MTC000010,Education and Cultural Resources,,,
MTL000008,committee member,2011-2012,,upper,mt,,MTC000015,Legislative Administration,,,
MTL000008,committee member,2011-2012,,upper,mt,,MTC000016,Rules,,,
MTL000008,committee member,2011-2012,,joint,mt,,MTC000038,Appropriations,Long-Range Planning,,
MTL000008,member,2015-2016,28,upper,mt,Republican,,,,,
MTL000008,committee member,2015-2016,,upper,mt,,MTC000079,"Agriculture, Livestock and Irrigation",,,
MTL000008,committee member,2015-2016,,upper,mt,,MTC000015,Legislative Administration,,,
MTL000008,committee member,2015-2016,,upper,mt,,MTC000010,Education and Cultural Resources,,,
MTL000008,committee member,2015-2016,,upper,mt,,MTC000017,Taxation,,,
MTL000011,member,2011-2012,47,upper,mt,Democratic,,,,,
MTL000011,committee member,2011-2012,,upper,mt,,MTC000003,Energy and Telecommunications,,,
MTL000011,committee member,2011-2012,,upper,mt,,MTC000017,Taxation,,,
MTL000014,member,2011-2012,37,upper,mt,Democratic,,,,,
MTL000014,committee member,2011-2012,,upper,mt,,MTC000004,Finance and Claims,,,
MTL000014,committee member,2011-2012,,upper,mt,,MTC000006,Local Government,,,
MTL000014,committee member,2011-2012,,upper,mt,,MTC000012,Fish and Game,,,
MTL000014,committee member,2011-2012,,upper,mt,,MTC000016,Rules,,,
MTL000014,committee member,2011-2012,,joint,mt,,MTC000037,Appropriations,"Judicial Branch, Law Enforcement,       and Justice",,
MTL000015,member,2011-2012,24,upper,mt,Democratic,,,,,
MTL000015,committee member,2011-2012,,upper,mt,,MTC000007,"Public Health, Welfare, and Safety",,,
MTL000015,committee member,2011-2012,,upper,mt,,MTC000016,Rules,,,
MTL000015,committee member,2011-2012,,upper,mt,,MTC000017,Taxation,,,
MTL000016,committee member,2017-2018,,joint,mt,,MTC000084,Joint Appropriations/Finance & Claims,Education,,
MTL000016,committee member,2017-2018,,lower,mt,,MTC000026,Appropriations,,,
MTL000016,member,2015-2016,15,upper,mt,Democratic,,,,,
MTL000016,committee member,2015-2016,,joint,mt,,MTC000084,Joint Appropriations/Finance & Claims,Education,,
MTL000016,committee member,2015-2016,,upper,mt,,MTC000011,Ethics,,,
MTL000016,committee member,2015-2016,,upper,mt,,MTC000071,Natural Resources,,,
MTL000016,committee member,2015-2016,,upper,mt,,MTC000012,Fish and Game,,,
MTL000016,member,2013-2014,10,upper,mt,Democratic,,,,,
MTL000016,committee member,2013-2014,,upper,mt,,MTC000011,Ethics,,,
MTL000016,committee member,2013-2014,,upper,mt,,MTC000004,Finance and Claims,,,
MTL000016,committee member,2013-2014,,upper,mt,,MTC000012,Fish and Game,,,
MTL000016,committee member,2013-2014,,upper,mt,,MTC000058,Natural Resources,,,
MTL000016,committee member,2013-2014,,joint,mt,,MTC000052,Joint Appropriations/Finance & Claims,Education,,
MTL000016,member,2011-2012,10,upper,mt,Democratic,,,,,
MTL000016,committee member,2011-2012,,joint,mt,,MTC000034,Appropriations,Education,,
MTL000017,member,2011-2012,33,upper,mt,Democratic,,,,,
MTL000017,committee member,2011-2012,,upper,mt,,MTC000001,"Agriculture, Livestock, and Irrigation",,,
MTL000017,committee member,2011-2012,,upper,mt,,MTC000004,Finance and Claims,,,
MTL000017,committee member,2011-2012,,upper,mt,,MTC000010,Education and Cultural Resources,,,
MTL000017,committee member,2011-2012,,upper,mt,,MTC000015,Legislative Administration,,,
MTL000017,committee member,2011-2012,,upper,mt,,MTC000016,Rules,,,
MTL000017,committee member,2011-2012,,joint,mt,,MTC000034,Appropriations,Education,,
MTL000018,member,2011-2012,7,upper,mt,Republican,,,,,
MTL000018,committee member,2011-2012,,upper,mt,,MTC000012,Fish and Game,,,
MTL000018,committee member,2011-2012,,upper,mt,,MTC000013,Judiciary,,,
MTL000018,committee member,2011-2012,,upper,mt,,MTC000014,Natural Resources,,,
MTL000019,member,2013-2014,5,upper,mt,Republican,,,,,
MTL000019,committee member,2013-2014,,upper,mt,,MTC000009,"Business, Labor, and Economic Affairs",,,
MTL000019,committee member,2013-2014,,upper,mt,,MTC000003,Energy and Telecommunications,,,
MTL000019,committee member,2013-2014,,upper,mt,,MTC000058,Natural Resources,,,
MTL000019,member,2011-2012,5,upper,mt,Republican,,,,,
