leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,photo_url,created_at,updated_at
MTL000001,Ron Arthun,Ron,,Arthun,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/12549.jpg,2012-03-08 02:14:25.998000,2015-01-05 17:32:32.204000
MTL000002,Shannon Augare,Shannon,,Augare,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/14306.jpg,2012-03-08 02:14:26.137000,2015-01-05 17:32:32.226000
MTL000003,Joe Balyeat,Joe,,Balyeat,,,False,mt,,,,http://leg.mt.gov/images/legislators_62nd/3704.jpg,2012-03-08 02:14:26.145000,2012-06-19 02:12:08.309000
MTL000004,Debby Barrett,Debby,,Barrett,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13543.jpg,2012-03-08 02:14:26.154000,2017-01-10 07:15:06.308000
MTL000005,Anders Blewett,Anders,,Blewett,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13620.jpg,2012-03-08 02:14:26.161000,2015-01-05 17:32:32.175000
MTL000006,Gary Branae,Gary,,Branae,,,False,mt,,,,/images/legislators_62nd/1424.jpg,2012-03-08 02:14:26.174000,2013-01-09 19:39:40.572000
MTL000007,John Brenden,John,,Brenden,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13750.jpg,2012-03-08 02:14:26.206000,2017-01-10 07:15:06.313000
MTL000008,Taylor Brown,Taylor,,Brown,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13751.jpg,2012-03-08 02:14:26.220000,2017-01-10 07:15:06.322000
MTL000011,Ron Erickson,Ron,,Erickson,,,False,mt,,,,/images/legislators_62nd/5157.jpg,2012-03-08 02:14:26.261000,2013-01-09 19:39:40.573000
MTL000014,Steve Gallus,Steve,,Gallus,,,False,mt,,,,/images/legislators_62nd/0399.jpg,2012-03-08 02:14:26.293000,2013-01-09 19:39:40.504000
MTL000015,Kim Gillan,Kim,,Gillan,,,False,mt,,,,/images/legislators_62nd/0444.jpg,2012-03-08 02:14:26.332000,2013-01-09 19:39:40.574000
MTL000016,Bradley Maxon Hamlett,Bradley,Maxon,Hamlett,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13754.jpg,2012-03-08 02:14:26.363000,2017-06-01 09:07:06.345000
MTL000017,Bob Hawks,Bob,,Hawks,,,False,mt,,,,/images/legislators_62nd/3871.jpg,2012-03-08 02:14:26.370000,2013-01-09 19:39:40.507000
MTL000018,Greg Hinkle,Greg,,Hinkle,,,False,mt,,,,/images/legislators_62nd/6467.jpg,2012-03-08 02:14:26.377000,2013-01-09 19:39:40.575000
MTL000019,Verdell Jackson,Verdell,,Jackson,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13826.jpg,2012-03-08 02:14:26.384000,2015-01-05 17:32:32.224000
MTL000020,Larry Jent,Larry,,Jent,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13542.jpg,2012-03-08 02:14:26.405000,2015-01-05 17:32:32.205000
MTL000022,Christine Kaufmann,Christine,,Kaufmann,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/14470.jpg,2012-03-08 02:14:26.426000,2017-01-10 07:15:06.305000
MTL000023,Jim Keane,Jim,,Keane,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13544.jpg,2012-03-08 02:14:26.447000,2017-06-01 09:07:06.346000
MTL000024,Bob Lake,Bob,,Lake,,,False,mt,,,,/images/legislators_62nd/2604.jpg,2012-03-08 02:14:26.458000,2013-01-09 19:39:40.576000
MTL000025,Cliff Larsen,Cliff,,Larsen,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13681.jpg,2012-03-08 02:14:26.491000,2017-01-10 07:15:06.307000
MTL000026,Dave Lewis,Dave,,Lewis,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13747.jpg,2012-03-08 02:14:26.498000,2015-01-05 17:32:32.215000
MTL000028,Lynda Moss,Lynda,,Moss,,,False,mt,,,,/images/legislators_62nd/3870.jpg,2012-03-08 02:14:26.518000,2013-01-09 19:39:40.578000
MTL000029,Carmine Mowbray,Carmine,,Mowbray,,,False,mt,,,,/images/legislators_62nd/9041.jpg,2012-03-08 02:14:26.527000,2013-01-09 19:39:40.571000
MTL000030,Terry Murphy,Terry,,Murphy,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/13755.jpg,2012-03-08 02:14:26.536000,2015-01-05 17:32:32.210000
MTL000031,Alan Olson,Alan,,Olson,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/12454.jpg,2012-03-08 02:14:26.554000,2015-01-05 17:32:32.188000
MTL000032,Jim Peterson,Jim,,Peterson,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/12897.jpg,2012-03-08 02:14:26.563000,2015-01-05 17:32:32.180000
MTL000033,Jason Priest,Jason,,Priest,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/12548.jpg,2012-03-08 02:14:26.571000,2015-01-05 17:32:32.202000
MTL000034,Rick Ripley,Rick,,Ripley,,,False,mt,,,,http://leg.mt.gov/images/legislators_64th/13601.jpg,2012-03-08 02:14:26.579000,2017-01-10 07:15:06.318000
MTL000035,Jim Shockley,Jim,,Shockley,,,False,mt,,,,/images/legislators_62nd/0415.jpg,2012-03-08 02:14:26.589000,2013-01-09 19:39:40.579000
MTL000036,Jon Sonju,Jon,,Sonju,,,False,mt,,,,http://leg.mt.gov/images/legislators_63rd/12983.jpg,2012-03-08 02:14:26.596000,2015-01-05 17:32:32.211000
